"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 07 19:28:10 GMT 2025","Mon Jul 07 19:28:16 GMT 2025","5880","LMS system","Authentication","Authorization","","","User login with correct email and password",""
"passed","Mon Jul 07 19:28:28 GMT 2025","Mon Jul 07 19:28:30 GMT 2025","1866","LMS system","Authentication","Registration","","","Registration with correct email, username and password",""
"passed","Mon Jul 07 19:28:52 GMT 2025","Mon Jul 07 19:28:55 GMT 2025","2850","LMS system","Courses","Courses","","","Edit course",""
"passed","Mon Jul 07 19:28:43 GMT 2025","Mon Jul 07 19:28:45 GMT 2025","1911","LMS system","Courses","Courses","","","Check displaying of empty courses list",""
"passed","Mon Jul 07 19:28:27 GMT 2025","Mon Jul 07 19:28:29 GMT 2025","1942","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Mon Jul 07 19:28:31 GMT 2025","Mon Jul 07 19:28:32 GMT 2025","1877","LMS system","Authentication","Registration","","","Registration with correct email, username and password",""
"passed","Mon Jul 07 19:28:32 GMT 2025","Mon Jul 07 19:28:34 GMT 2025","1750","LMS system","Authentication","Authorization","","","Navigation from login page to registration page",""
"passed","Mon Jul 07 19:29:00 GMT 2025","Mon Jul 07 19:29:00 GMT 2025","1","tests.pytest","test_markers","TestAuthorization","","","test_logout",""
"passed","Mon Jul 07 19:28:22 GMT 2025","Mon Jul 07 19:28:24 GMT 2025","1515","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Mon Jul 07 19:28:06 GMT 2025","Mon Jul 07 19:28:08 GMT 2025","1559","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Mon Jul 07 19:28:03 GMT 2025","Mon Jul 07 19:28:07 GMT 2025","3693","LMS system","Authentication","Authorization","","","User login with correct email and password",""
"passed","Mon Jul 07 19:28:25 GMT 2025","Mon Jul 07 19:28:27 GMT 2025","2035","LMS system","Authentication","Authorization","","","Navigation from login page to registration page",""
"passed","Mon Jul 07 19:28:10 GMT 2025","Mon Jul 07 19:28:12 GMT 2025","2041","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Mon Jul 07 19:29:00 GMT 2025","Mon Jul 07 19:29:00 GMT 2025","0","tests.pytest","test_markers","","","","test_regression_case",""
"passed","Mon Jul 07 19:28:18 GMT 2025","Mon Jul 07 19:28:21 GMT 2025","3645","LMS system","Authentication","Authorization","","","User login with correct email and password",""
"passed","Mon Jul 07 19:28:13 GMT 2025","Mon Jul 07 19:28:15 GMT 2025","1952","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Mon Jul 07 19:28:58 GMT 2025","Mon Jul 07 19:29:00 GMT 2025","1817","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"passed","Mon Jul 07 19:29:00 GMT 2025","Mon Jul 07 19:29:00 GMT 2025","0","tests.pytest","test_markers","","","","test_critical_login",""
"passed","Mon Jul 07 19:28:19 GMT 2025","Mon Jul 07 19:28:21 GMT 2025","2066","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Mon Jul 07 19:28:40 GMT 2025","Mon Jul 07 19:28:42 GMT 2025","2673","LMS system","Courses","Courses","","","Create course",""
"passed","Mon Jul 07 19:28:39 GMT 2025","Mon Jul 07 19:28:41 GMT 2025","1582","LMS system","Courses","Courses","","","Check displaying of empty courses list",""
"passed","Mon Jul 07 19:28:16 GMT 2025","Mon Jul 07 19:28:17 GMT 2025","1612","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Mon Jul 07 19:28:30 GMT 2025","Mon Jul 07 19:28:31 GMT 2025","1277","LMS system","Authentication","Authorization","","","Navigation from login page to registration page",""
"passed","Mon Jul 07 19:28:43 GMT 2025","Mon Jul 07 19:28:46 GMT 2025","2905","LMS system","Courses","Courses","","","Create course",""
"passed","Mon Jul 07 19:29:00 GMT 2025","Mon Jul 07 19:29:00 GMT 2025","0","tests.pytest","test_markers","TestUserInterface","","","test_forgot_password_link",""
"passed","Mon Jul 07 19:28:03 GMT 2025","Mon Jul 07 19:28:05 GMT 2025","2107","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Mon Jul 07 19:29:00 GMT 2025","Mon Jul 07 19:29:02 GMT 2025","1959","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"passed","Mon Jul 07 19:29:00 GMT 2025","Mon Jul 07 19:29:00 GMT 2025","0","tests.pytest","test_markers","TestAuthorization","","","test_password_reset",""
"passed","Mon Jul 07 19:28:47 GMT 2025","Mon Jul 07 19:28:51 GMT 2025","4229","LMS system","Courses","Courses","","","Edit course",""
"passed","Mon Jul 07 19:29:02 GMT 2025","Mon Jul 07 19:29:02 GMT 2025","0","tests.pytest","test_markers","TestAuthorization","","","test_login",""
"passed","Mon Jul 07 19:28:47 GMT 2025","Mon Jul 07 19:28:51 GMT 2025","3745","LMS system","Courses","Courses","","","Create course",""
